service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
feed_0_12206559_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206561_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206562_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12206565_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206567_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206568_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12206571_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206589_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206591_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206593_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12206601_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206602_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12206605_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206606_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12206608_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206609_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12206611_temporally_filtered_0,0,0,0,0,0,0,0,20161215,20161215
feed_0_12206614_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206615_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12206622_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206624_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206679_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206680_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12206683_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206684_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12206783_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206847_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12206848_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12206850_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12206851_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12209319_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12209320_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161213
feed_0_12209321_temporally_filtered_0,0,0,0,0,0,0,0,20161214,20161217
feed_0_12209322_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12209360_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12214625_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214626_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12214627_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214628_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12214771_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214780_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214795_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214802_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214830_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214837_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214842_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214844_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214859_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214893_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214895_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214899_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214923_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214927_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214932_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214936_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214943_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214945_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161213
feed_0_12214946_temporally_filtered_0,0,0,0,0,0,0,0,20161214,20161217
feed_0_12214974_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214976_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161213
feed_0_12214977_temporally_filtered_0,0,0,0,0,0,0,0,20161214,20161216
feed_0_12214978_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12214979_temporally_filtered_0,0,0,0,0,0,0,0,20161217,20161217
feed_0_12214991_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12214992_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161217
feed_0_12214996_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12215014_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12215021_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12215050_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12228033_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12228035_temporally_filtered_0,0,0,0,0,0,0,0,20161218,20161218
feed_0_12228054_temporally_filtered_0,0,0,0,0,0,0,0,20161219,20161219
feed_0_12228056_temporally_filtered_0,0,0,0,0,0,0,0,20161213,20161216
feed_0_12228057_temporally_filtered_0,0,0,0,0,0,0,0,20161215,20161215
