transfer_type,min_transfer_time,from_stop_id,to_stop_id
2,225.0,feed_0_1655,
2,245.0,feed_0_1655,
2,245.0,feed_0_1655,
2,225.0,feed_0_1655,
2,267.0,feed_0_1655,feed_0_5770810
2,250.0,feed_0_1655,feed_0_5770811
2,201.0,feed_0_1656,feed_0_4016287
2,216.0,feed_0_1656,feed_0_4016288
2,269.0,feed_0_1657,
2,269.0,feed_0_1657,
2,190.0,feed_0_1659,feed_0_3673604
2,243.0,feed_0_1659,feed_0_3673605
2,228.0,feed_0_1659,feed_0_3673606
2,219.0,feed_0_1659,feed_0_3690050
2,219.0,feed_0_1659,
2,228.0,feed_0_1659,
2,243.0,feed_0_1659,
2,243.0,feed_0_1659,feed_0_3765282
2,216.0,feed_0_1659,feed_0_3765283
2,225.0,feed_0_1659,
2,190.0,feed_0_1659,
2,201.0,feed_0_1659,
2,211.0,feed_0_1659,feed_0_4459271
2,216.0,feed_0_1659,
2,213.0,feed_0_1659,feed_0_5657303
2,201.0,feed_0_1659,
2,342.0,feed_0_1662,feed_0_3749784
2,316.0,feed_0_1662,feed_0_3764551
2,249.0,feed_0_1662,feed_0_3807628
2,316.0,feed_0_1662,
2,307.0,feed_0_1662,feed_0_4016275
2,342.0,feed_0_1662,
2,307.0,feed_0_1662,
2,342.0,feed_0_1662,
2,307.0,feed_0_1662,
2,249.0,feed_0_1662,
2,316.0,feed_0_1662,
2,342.0,feed_0_1662,
2,307.0,feed_0_1662,
2,342.0,feed_0_1662,
2,307.0,feed_0_1662,
2,209.0,feed_0_1662795,
2,192.0,feed_0_1662795,
2,209.0,,
2,192.0,,
2,215.0,feed_0_1662797,
2,271.0,feed_0_1662797,
2,218.0,feed_0_1662797,feed_0_5121484
2,190.0,feed_0_1662797,feed_0_5121515
2,215.0,,
2,271.0,,
2,218.0,,feed_0_5121484
2,190.0,,feed_0_5121515
2,252.0,feed_0_1663,feed_0_3682070
2,254.0,feed_0_1663,feed_0_3682071
2,254.0,feed_0_1663,
2,189.0,feed_0_1664,feed_0_3682059
2,189.0,feed_0_1664,
2,210.0,feed_0_1664,
2,270.0,feed_0_1665,
2,270.0,feed_0_1665,
2,270.0,feed_0_1665,
2,256.0,feed_0_1665,
2,270.0,feed_0_1665,
2,256.0,feed_0_1665,
2,65.0,feed_0_1666,feed_0_1667
2,67.0,feed_0_1666,
2,218.0,feed_0_1666,feed_0_3765210
