stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding,parent_station
feed_0_4378038,,DOMAINE CHERIOUX,AVENUE STALINGRAD - 94021,48.77982512725138,2.3671474111380566,0,,
feed_0_4378039,,DOMAINE CHERIOUX,RUE PAUL HOCHART - 94038,48.77980714786377,2.367161000755857,0,,
feed_0_4378040,,RUE PAUL HOCHART,FACE 146 RUE PAUL HOCHART - 94021,48.77756135693098,2.3618967487172866,0,,
feed_0_4378042,,SOUS-PREFECTURE,2 AV LARROUMES - 94038,48.7777256309631,2.3333652443047037,0,,
feed_0_4378043,,MARCHE NORD,AV DE LA PAIX - 94034,48.762841302824974,2.3307560170898136,0,,
feed_0_4378044,,FERME DE COTTINVILLE,35 R MAURICE TENINE - 94034,48.75522808683047,2.3269507796571895,0,,
feed_0_4378048,,VILLEJUIF - LOUIS ARAGON,7 AVENUE DE STALINGRAD - 94076,48.78757278336037,2.3670022487935434,0,,
feed_0_4378051,,MAIRIE DE VILLEJUIF,36 RUE GEORGES LE BIGOT - 94076,48.79250790038271,2.3638219058015024,0,,
feed_0_4378052,,EDOUARD VAILLANT - CIMETIERE,R EDOUARD VAILLANT - 94076,48.793138647947984,2.3553200683329125,0,,
feed_0_4378054,,VERDUN - GROSMENIL,FACE 60 BOULEVARD PAUL VAILLANT COUTURIER - 94076,48.79440577390818,2.3563816046728325,0,,
feed_0_4378055,,GROUPE HOSPITALIER PAUL BROUSSE,FACE 2 RUE GUY MOQUET - 94076,48.79475572372795,2.3596874763837192,0,,
feed_0_4378056,,GUY MOQUET,17-19 RUE GUY MOQUET - 94076,48.797524281515265,2.358069724549049,0,,
feed_0_4378057,,AMBROISE CROIZAT,FACE 12 RUE MARCEL PAUL - 94076,48.80028381899008,2.3564790075267084,0,,
feed_0_4378059,,RUE DES GUIPONS,FACE 22BIS RUE RENE THIBERT - 94076,48.805046380389854,2.361828155704529,0,,
feed_0_4378060,,DAUPHIN - RN7,2-4 RUE DAUPHIN - 94076,48.805809778422585,2.364427411395281,0,,
feed_0_4378061,,GROUPE SCOLAIRE PASTEUR,58 RUE PASTEUR - 94076,48.804640917008896,2.3663180989772243,0,,
feed_0_4378062,,HENRI BARBUSSE,74-76 RUE HENRI BARBUSSE - 94076,48.8042358924373,2.3685765287186755,0,,
feed_0_4378063,,EMILE ZOLA,14 TER R EMILE ZOLA - 94076,48.803021990295115,2.3705894912230656,0,,
feed_0_4378064,,BEAUMARCHAIS,47-47BIS RUE BIZET - 94076,48.7989866529581,2.369865835984797,0,,
feed_0_4378065,,CLEMENT-BIZET,43 RUE JEAN-BAPTISTE CLEMENT - 94076,48.79673946245193,2.370680688612628,0,,
feed_0_4378066,,PAUL VAILLANT-COUTURIER-METRO,14 BOULEVARD PAUL VAILLANT COUTURIER - 94076,48.79554496238662,2.3673605223725263,0,,
feed_0_4378067,,GUYNEMER - PLACE DES FUSILLES.,FACE 75 RUE JEAN JAURES - 94076,48.79281287672086,2.3664339091207403,0,,
feed_0_4378069,,VILLEJUIF - LOUIS ARAGON.,BOULEVARD MAXIME GORKI - 94076,48.788192725901176,2.3678867443942506,0,,
feed_0_4378072,,AUGUSTE DELAUNE - STADE NAUTIQUE,FACE 51 AVENUE KARL MARX - 94076,48.784590306959025,2.3601319255886763,0,,
feed_0_4378073,,AUGUSTE DELAUNE - STADE NAUTIQUE,51 AVENUE KARL MARX - 94076,48.78446435901983,2.36073032222307,0,,
feed_0_4378075,,LES LOZAITS,71 AVENUE KARL MARX - 94076,48.78451926698203,2.3550858495840825,0,,
feed_0_4378080,,MARCHE INTERNATIONAL DE RUNGIS,PISTE GARE ROUTIERE - 94021,48.76396322693865,2.3577435746777065,0,,
feed_0_4378089,,DENFERT-ROCHEREAU-METRO-RER,BOULEVARD SAINT-JACQUES - 75114,48.83352191032987,2.3337558716336257,0,,
feed_0_4378094,,PORTE DE L'HAY-LYONNAIS,VOIE SUR VOIE D'ENTREE E1 DU MIN - 94021,48.76091786483258,2.3434132217634307,0,,
feed_0_4378095,,LE DELTA,RUE DU PONT DES HALLES - 94065,48.75871557826966,2.3464445217916294,0,,
feed_0_4378097,,CARREFOUR DE L'EUROPE,AVENUE CHARLES LINDBERGH - 94065,48.75375397549794,2.3481427875365295,0,,
feed_0_4378099,,PORTE DE RUNGIS,PL DU RELAIS - 94065,48.753061184045805,2.354150733195656,0,,
feed_0_4378100,,CONCARNEAU,BOULEVARD CIRCULAIRE SUD - 94065,48.75484099067316,2.3530638374213892,0,,
feed_0_4378101,,MARCHE DE RUNGIS-PONDORLY,BOULEVARD CIRCULAIRE OUEST - 94065,48.75843670476903,2.3491633467954522,0,,
feed_0_4378102,,VIADUC,AVENUE DU LYONNAIS - 94021,48.761178081740965,2.349177570277524,0,,
feed_0_4378103,,AGEN,AVENUE DES MARAICHERS - 94021,48.76317343511212,2.3492460062814264,0,,
feed_0_4378104,,CHATEAURENARD,AVENUE DES MARAICHERS - 94021,48.76469203372419,2.3526317629009204,0,,
feed_0_4378116,,SAARINEN,AV CHARLES LINDBERGH - 94065,48.74971740744681,2.355318565882519,0,,
feed_0_4378261,,BOURG-LA-REINE RER,PLACE DE LA GARE - 92014,48.78004214128772,2.3130874320121375,0,,
feed_0_4378319,,PREFECTURE DU VAL-DE-MARNE,ROUTE DE CHOISY - 94028,48.78382278637771,2.447055715521933,0,,
feed_0_4378353,,PORTE D'ITALIE-METRO,RUE FERNAND WIDAL - 75113,48.81838449318841,2.3604326334975934,0,,
feed_0_4378363,,VILLEJUIF - LOUIS ARAGON,FACE 185 BOULEVARD MAXIME GORKI - 94076,48.78805792801428,2.3678050521272613,0,,
feed_0_4378364,,VILLEJUIF DIVISION LECLERC,AVENUE DE LA DIVISION LECLERC - 94076,48.78463354464198,2.3677214303870877,0,,
feed_0_4378365,,LURCAT - LUISETTE,RUE JEAN LURCAT - 94076,48.7841022853461,2.371298205457802,0,,
feed_0_4378366,,EDOUARD TREMBLAY,RUE JULIAN GRIMAU - 94081,48.781666178808514,2.372561450773055,0,,
feed_0_4378367,,JULIAN GRIMAU - VOIE VERTE,FACE 184 RUE JULIAN GRIMAU - 94081,48.77945456833409,2.3744231301101495,0,,
feed_0_4378368,,PAUL ARMANGOT,118 RUE PAUL ARMANGOT - 94081,48.77696424758717,2.3764340329706126,0,,
feed_0_4378369,,CAMILLE RISCH,RUE PAUL ARMANGOT - 94081,48.77512254541031,2.3737944884119186,0,,
feed_0_4378370,,CITE DU MOULIN VERT,RUE EUGENE DERRIEN - 94081,48.77256916423477,2.376253943278025,0,,
feed_0_4378371,,PISCINE,RUE DE LA SAUSSAIE - 94073,48.76930444707807,2.38208469865502,0,,
feed_0_4378376,,RENE PANHARD,0 AV DU 25 AOUT 1944 - 94073,48.76240145451181,2.4019144491979936,0,,
feed_0_4378377,,GENERAL LECLERC,7 AV GENERAL LECLERC - 94022,48.762129294435155,2.4063869782369203,0,,
feed_0_4378378,,CHOISY-LE-ROI RER,AVENUE LOUIS LUC - 94022,48.764696603280214,2.4118288001877866,0,,
feed_0_4378379,,QUARTIER DU PORT,FACE 24 AVENUE LOUIS LUC - 94022,48.7619901951208,2.4133883763250874,0,,
feed_0_4378380,,CHARLES JULES VAILLANT,AVENUE RONDU - 94022,48.75869121513839,2.413913726281213,0,,
feed_0_4378381,,CRECHE JEAN EFFEL,FACE 131 AVENUE ANATOLE FRANCE - 94022,48.755518005476794,2.414520758040493,0,,
feed_0_4378382,,CHOISY SUD,AVENUE DE NEWBURN - 94022,48.754764659842415,2.411923295240397,0,,
feed_0_4378385,,CHARLES JULES VAILLANT,AVENUE RONDU - 94022,48.758502857332175,2.4133017006212443,0,,
feed_0_4378386,,QUARTIER DU PORT,32 AVENUE LOUIS LUC - 94022,48.76190913645617,2.413646568000583,0,,
feed_0_4378387,,CHOISY-LE-ROI RER,AVENUE LOUIS LUC - 94022,48.76454363490988,2.412100500147757,0,,
feed_0_4378388,,GENERAL LECLERC,FACE 7 AVENUE GENERAL LECLERC - 94022,48.76200296778939,2.4072297193798553,0,,
feed_0_4378394,,PISCINE,RUE DE LA SAUSSAIE - 94073,48.76938529338921,2.382207143565286,0,,
feed_0_4378395,,CITE DU MOULIN VERT,RUE EUGENE DERRIEN - 94081,48.772829655650504,2.3767436718610018,0,,
feed_0_4378396,,CAMILLE RISCH,115 RUE PAUL ARMANGOT - 94081,48.775104498112604,2.3740256542080003,0,,
feed_0_4378397,,PAUL ARMANGOT,FACE 115 RUE JULIAN GRIMAU - 94081,48.77769219027568,2.3766929708744233,0,,
feed_0_4378398,,JULIAN GRIMAU - VOIE VERTE,206 RUE JULIAN GRIMAU - 94081,48.78041653890583,2.3735942108449115,0,,
feed_0_4378399,,EDOUARD TREMBLAY,234 RUE JULIAN GRIMAU - 94081,48.78218760941786,2.372126586384184,0,,
feed_0_4378400,,LURCAT - LUISETTE,RUE JEAN LURCAT - 94076,48.78418313791515,2.3714342695708814,0,,
feed_0_4378401,,VILLEJUIF DIVISION LECLERC,1 AVENUE DE LA DIVISION LECLERC - 94076,48.784723458903116,2.3675854706064436,0,,
feed_0_4378410,,CONVENTION - FONTAINEBLEAU,55 AVENUE DE FONTAINEBLEAU - 94043,48.812596144598764,2.3616820358426636,0,,
feed_0_4390967,,CIMETIERE COMMUNAL,80 AVENUE DU GENERAL DE GAULLE - 94021,48.77195519735116,2.3439448491581363,0,,
feed_0_4390969,,CENTRE CULTUREL - ANDRE MALRAUX,100 AVENUE DU GENERAL DE GAULLE - 94021,48.77070532619788,2.3503491492177844,0,,
feed_0_4390970,,EGLISE DE CHEVILLY-LARUE,12 RUE DU PERE MAZURIE - 94021,48.77084862744517,2.3543468854886394,0,,
feed_0_4390971,,CITE DES SORBIERS,AVENUE DU PRESIDENT FRANKLIN ROOSEVELT - 94021,48.771773690860535,2.3586985056609033,0,,
feed_0_4390972,,JACQUES BREL,112 AVENUE DU PRESIDENT ROOSEVELT - 94021,48.77019074739032,2.363878479826917,0,,
feed_0_4390973,,BRETAGNE,240 AVENUE DE STALINGRAD - 94021,48.768203444931586,2.3677933766243755,0,,
feed_0_4390974,,CIMETIERE PARISIEN DE THIAIS,AVENUE DE STALINGRAD - 94021,48.76499465577505,2.367968239679133,0,,
feed_0_4390975,,LE COR DE CHASSE - LA BELLE EPINE,AV DE FONTAINEBLEAU - 94021,48.75975453648579,2.36816906303265,0,,
feed_0_4439555,,AUGUSTE PERRET,ESPLANADE AUGUSTE PERRET - 94073,48.76378088217269,2.3694086738771816,0,,
feed_0_4439562,,TROIS MARCHES,AVENUE DES TROIS MARCHES - 94021,48.76150973348482,2.356179161915079,0,,
feed_0_4439564,,MAREE,AVENUE DES TROIS MARCHES - 94021,48.75953299135263,2.3515698526455524,0,,
feed_0_4439572,,RUE DE LA BRESSE,RUE DU JOUR - 94065,48.75820119073097,2.361235040376766,0,,
feed_0_4439577,,HANGAR N 6,ROUTE NUMERO 5 - 91479,48.74352272051869,2.3647346098291497,0,,
feed_0_4439578,,HANGAR N 6,ROUTE NUMERO 5 - 91479,48.74359458544199,2.3649113242053637,0,,
feed_0_4439579,,CAROLINE AIGLE,AVENUE DE L'EUROPE - 91479,48.736834210108675,2.369663780810606,0,,
feed_0_4439580,,COEUR D'ORLY,AVENUE DE L'UNION - 94054,48.73469474454974,2.3705728540756184,0,,
feed_0_4439581,,COEUR D'ORLY,AVENUE DE L'UNION - 94054,48.734964290083234,2.370939909181391,0,,
feed_0_4439607,,AEROPORT D'ORLY-TERMINAL SUD,AEROPORT D'ORLY - 94054,48.728879688960305,2.369156116527317,0,,
feed_0_4439608,,CAROLINE AIGLE,AVENUE DE L'EUROPE - 94054,48.737031881671214,2.36992209078468,0,,
feed_0_4458753,,VAL FLEURY RER,22 PLACE HENRI BROUSSE - 92048,48.808084076745295,2.2413226844090564,0,,
feed_0_4458755,,RUE DES PEUPLIERS,FACE 92 AVENUE SCHNEIDER - 92023,48.80768631860821,2.2500184692424225,0,,
feed_0_4458760,,MARCHE DE CLAMART,5 RUE PAUL VAILLANT COUTURIER - 92023,48.80150455495496,2.266328429226022,0,,
feed_0_4458762,,JEANNE D'ARC,FACE 70BIS RUE PIERRE BROSSOLETTE - 92020,48.80106182589178,2.2785604109353716,0,,
feed_0_4458763,,GENERAL DE GAULLE,FACE 52 AVENUE DE VERDUN - 92020,48.801280087884315,2.283988795470582,0,,
feed_0_4458764,,D'ESTIENNE D'ORVES - DIVISION LECLERC,FACE 1 TER RUE D'ESTIENNE D'ORVES - 92020,48.79959122387618,2.285922459098015,0,,
feed_0_4458765,,PIERRELAIS-FONTENAY,FACE 1 RUE DES PIERRELAIS - 92020,48.798019037952486,2.2875429769632474,0,,
feed_0_4458766,,PIERRELAIS - BLANCHARD,32-34 RUE BLANCHARD - 92032,48.7948199241652,2.2889200331325124,0,,
feed_0_4458767,,CHARTRES - BLANCHARD,FACE 23 RUE DE CHARTRES - 92007,48.79576467289333,2.291503941539559,0,,
feed_0_4458768,,LIBERTE,AVENUE DU GENERAL DE GAULLE - 92007,48.798192601376755,2.294753345283415,0,,
feed_0_4458769,,DAMPIERRE,FACE 10 RUE DE LA REPUBLIQUE - 92007,48.795453419592036,2.3011631011211917,0,,
feed_0_4458770,,ROSENBERG,AVENUE GABRIEL PERI - 92007,48.796864844005626,2.3022640792634257,0,,
feed_0_4458771,,RUE DES OLIVETTES,AVENUE GABRIEL PERI - 92007,48.79726148952739,2.3065356365996665,0,,
feed_0_4458772,,LES IRIS,44 RUE DES MEUNIERS - 92007,48.79789204298781,2.3125621464958934,0,,
feed_0_4458773,,PASTEUR - MEUNIERS,12 AVENUE LOUIS PASTEUR - 92007,48.79805476479201,2.3176094292017297,0,,
feed_0_4458774,,VERDUN - PASTEUR,103 RUE DE VERDUN - 92007,48.80188394455734,2.319920957586144,0,,
feed_0_4458781,,CITE JARDINS,FACE 7 AVENUE DE LA CONVENTION - 94003,48.800626847211305,2.333377135300907,0,,
feed_0_4458782,,ROBESPIERRE,3 RUE MAXIMILIEN ROBESPIERRE - 94003,48.80187620108928,2.3351866061310647,0,,
feed_0_4458783,,AUGUSTE DELAUNE,1 RUE AUGUSTE DELAUNE - 94003,48.80193912894198,2.3383295345202058,0,,
feed_0_4458786,,INSTITUT GUSTAVE ROUSSY - HAUTES BRUYERES,RUE CAMILLE DESMOULINS - 94076,48.79551231149947,2.3482603778488143,0,,
