route_I;route_name;route_type
972;PC3;3
973;116;3
974;116;3
975;FUNICULAIRE;3
976;FUNICULAIRE;3
977;7B;1
978;7B;1
979;3B;1
980;3B;1
984;213;3
986;213;3
988;211;3
990;123;3
991;546;3
992;113;3
994;210;3
997;24;3
998;350;3
999;120;3
1000;114;3
1002;584;3
1003;593;3
1004;562;3
1005;562;3
1006;513;3
1007;518;3
1008;147;3
1009;347;3
1010;347;3
1011;304;3
1012;304;3
1013;304;3
1014;304;3
1015;304;3
1016;208;3
1017;107;3
1018;107;3
1019;107;3
1020;127;3
1021;594;3
1022;594;3
1023;581;3
1024;581;3
1026;ORLYVAL;3
1027;ORLYVAL;3
1028;584;3
1029;64;3
1030;64;3
1031;170;3
1032;170;3
1033;TUVIM;3
1034;TUVIM;3
1035;T3;0
1036;T3;0
1037;275;3
1038;367;3
1040;272;3
1042;564;3
1049;114;3
1050;111;3
1051;208;3
1052;T5;0
1053;269;3
1054;T5;0
1055;H;2
1060;N;3
1061;J;3
1062;C;3
1063;D;3
1064;E;3
1065;H;3
1066;P;3
1067;B;2
1068;E;2
1069;C;2
1070;D;2
1071;A;2
1072;P;2
1073;N;2
1074;J;2
1075;U;2
1076;K;2
1078;L;2
1079;T4;0
